Dosja,Arkiva,Fondi,Viti,Dosja,Faqja,Titulli,Anglisht,Citimi ,Shenime,,,,
Mb_1922_557,AQSH,152,1922,557,,"Prefektura Vlore derguar Ministrise se Puneve te Brendshme, dt. 5.3.1922",Prefecture of Vlora to Ministry of Internal Affairs. 5.03.1922,"AQSH, F.152, V.1922, D.557, Fl.. Document title: Prefektura Vlore derguar Ministrise se Puneve te Brendshme, dt. 5.3.1922[Prefecture of Vlora to Ministry of Internal Affairs. 5.03.1922.]",,,,,
MPJ 194/1931,MEPJ,MPJ,1931,194,39,Pasqyre permbledhse e statistikes Arsimore viti-shkolluer 1930-1931,Summary of records for the statistics of the school year 1930-1931,"MEPJ, F.MPJ, V.1931, D.194, Fl.39. Document title: Pasqyre permbledhse e statistikes Arsimore viti-shkolluer 1930-1931[Summary of records for the statistics of the school year 1930-1931.]",,,,,
MPJ 194/1931,MEPJ,MPJ,1931,194,2,"Ministria e Puneve te Jashtme derguar Keshillit Ministruer, dt. 20.12.1930","Ministry of Foreign Affairs to the Council of Ministers, 20.12.1930","MEPJ, F.MPJ, V.1931, D.194, Fl.2. Document title: Ministria e Puneve te Jashtme derguar Keshillit Ministruer, dt. 20.12.1930[Ministry of Foreign Affairs to the Council of Ministers, 20.12.1930.]",,,,,
490_1931_598,AQSH,490,1931,598,5,"Ministria e Arsimit derguar Ministrise se Puneve te Jashtme, 14.01.1931","Ministry of Education to Ministry of Foreign Affairs, 14 January 1931","AQSH, F.490, V.1931, D.598, Fl.5. Document title: Ministria e Arsimit derguar Ministrise se Puneve te Jashtme, 14.01.1931[Ministry of Education to Ministry of Foreign Affairs, 14 January 1931.]",,,,,
511_1933_165,AQSH,511,1933,165,28,"Consulat Royal D'Albanie derguar Rauf Ficos, i Derguem i Jashtzakonshem dhe Minister Fuqiplote i Shqipnies, 18 Prill 1933. ","Consulat Royal D'Albanie to the Ambassador in Belgrade, 13.05.1933.","AQSH, F.511, V.1933, D.165, Fl.28. Document title: Consulat Royal D'Albanie derguar Rauf Ficos, i Derguem i Jashtzakonshem dhe Minister Fuqiplote i Shqipnies, 18 Prill 1933. [Consulat Royal D'Albanie to the Ambassador in Belgrade, 13.05.1933..]",,,,,
511_1933_165,AQSH,511,1933,165,7,"Inspektorija e Studentave Shqiptare per Jashta Shqipnije derguar Ministris Mbretnore T'Arsimit, Dt. 4.8.1933.",Inspectorate of Albanian Students Abroad to the Royal Ministry of Education 4.8.1933,"AQSH, F.511, V.1933, D.165, Fl.7. Document title: Inspektorija e Studentave Shqiptare per Jashta Shqipnije derguar Ministris Mbretnore T'Arsimit, Dt. 4.8.1933.[Inspectorate of Albanian Students Abroad to the Royal Ministry of Education 4.8.1933.]",,,,,
511_1933_165,AQSH,511,1933,165,4,"Inspektori ne Legaten e Vjenes, Austri, derguar Ministrise Mbretnore t'Arsimit, dt. 2 Gusht 1933.","Inspectore of the Legate in Vienna, Austria, to Ministry of Education, 02.08.1933","AQSH, F.511, V.1933, D.165, Fl.4. Document title: Inspektori ne Legaten e Vjenes, Austri, derguar Ministrise Mbretnore t'Arsimit, dt. 2 Gusht 1933.[Inspectore of the Legate in Vienna, Austria, to Ministry of Education, 02.08.1933.]",,,,,
511_1933_165,AQSH,511,1933,165,20,"Royal Albania Legation derguar Ministrise se Arsimit, dt. 2 Gusht 1933.","Royal Albania Legation to Ministry of Education, 01.08.1933","AQSH, F.511, V.1933, D.165, Fl.20. Document title: Royal Albania Legation derguar Ministrise se Arsimit, dt. 2 Gusht 1933.[Royal Albania Legation to Ministry of Education, 01.08.1933.]",,,,,
511_1943_489,AQSH,511,1943,489,,Lutje te studenteve drejtuar Ministrise se Arsimit per pajisjen me pasaporte … (germat a-m).,Students' request to the Ministry of Education for passport applications … (letters from a to m),"AQSH, F.511, V.1943, D.489, Fl.. Document title: Lutje te studenteve drejtuar Ministrise se Arsimit per pajisjen me pasaporte … (germat a-m).[Students' request to the Ministry of Education for passport applications … (letters from a to m).]",,,,,
Mak 1945/44,AQSH,511,1945,44,1,"Ministria e Arsimit derguar Ministrise se Puneve te Brendshme, dt. 1.10.1945.","Ministry of Education to Ministry of Interior, 1.10.1945","AQSH, F.511, V.1945, D.44, Fl.1. Document title: Ministria e Arsimit derguar Ministrise se Puneve te Brendshme, dt. 1.10.1945.[Ministry of Education to Ministry of Interior, 1.10.1945.]",,,,,
